Country,Country code,Genre,Demographics (Age),%
德国,DEU,娱乐,25-34,0.302
德国,DEU,娱乐,35-44,0.169
德国,DEU,娱乐,45-54,0.168
德国,DEU,娱乐,55+,0.081
德国,DEU,社交,18-24,0.339
德国,DEU,社交,25-34,0.405
德国,DEU,社交,35-44,0.131
德国,DEU,社交,45-54,0.069
德国,DEU,社交,55+,0.056
法国,FRA,真金游戏,18-24,0.177
法国,FRA,真金游戏,25-34,0.281
法国,FRA,真金游戏,35-44,0.263
法国,FRA,真金游戏,45-54,0.17
法国,FRA,真金游戏,55+,0.109
法国,FRA,电子商务,18-24,0.1
法国,FRA,电子商务,25-34,0.244
法国,FRA,电子商务,35-44,0.327
法国,FRA,电子商务,45-54,0.208
法国,FRA,电子商务,55+,0.122
法国,FRA,按需服务,18-24,0.281
法国,FRA,按需服务,25-34,0.313
法国,FRA,按需服务,35-44,0.288
法国,FRA,按需服务,45-54,0.099
法国,FRA,按需服务,55+,0.018
法国,FRA,旅游,18-24,0.103
法国,FRA,旅游,25-34,0.446
法国,FRA,旅游,35-44,0.237
法国,FRA,旅游,45-54,0.128
法国,FRA,旅游,55+,0.085
法国,FRA,金融,18-24,0.136
法国,FRA,金融,25-34,0.335
法国,FRA,金融,35-44,0.273
法国,FRA,金融,45-54,0.168
法国,FRA,金融,55+,0.089
法国,FRA,娱乐,18-24,0.414
法国,FRA,娱乐,25-34,0.273
法国,FRA,娱乐,35-44,0.151
法国,FRA,娱乐,45-54,0.097
法国,FRA,娱乐,55+,0.066
法国,FRA,社交,18-24,0.416
法国,FRA,社交,25-34,0.349
法国,FRA,社交,35-44,0.116
法国,FRA,社交,45-54,0.068
法国,FRA,社交,55+,0.051
英国,GBR,真金游戏,18-24,0.138
英国,GBR,真金游戏,25-34,0.298
英国,GBR,真金游戏,35-44,0.307
英国,GBR,真金游戏,45-54,0.179
英国,GBR,真金游戏,55+,0.078
英国,GBR,电子商务,18-24,0.126
英国,GBR,电子商务,25-34,0.259
英国,GBR,电子商务,35-44,0.321
英国,GBR,电子商务,45-54,0.205
英国,GBR,电子商务,55+,0.089
英国,GBR,按需服务,18-24,0.275
英国,GBR,按需服务,25-34,0.34
英国,GBR,按需服务,35-44,0.224
英国,GBR,按需服务,45-54,0.118
英国,GBR,按需服务,55+,0.043
英国,GBR,旅游,18-24,0.154
英国,GBR,旅游,25-34,0.31
英国,GBR,旅游,35-44,0.267
英国,GBR,旅游,45-54,0.201
英国,GBR,旅游,55+,0.068
英国,GBR,金融,18-24,0.09
英国,GBR,金融,25-34,0.426
英国,GBR,金融,35-44,0.292
英国,GBR,金融,45-54,0.151
英国,GBR,金融,55+,0.041
英国,GBR,娱乐,18-24,0.41
英国,GBR,娱乐,25-34,0.292
英国,GBR,娱乐,35-44,0.142
英国,GBR,娱乐,45-54,0.093
英国,GBR,娱乐,55+,0.063
英国,GBR,社交,18-24,0.445
英国,GBR,社交,25-34,0.312
英国,GBR,社交,35-44,0.134
英国,GBR,社交,45-54,0.063
英国,GBR,社交,55+,0.046
印度尼西亚,IDN,真金游戏,18-24,0.264
印度尼西亚,IDN,真金游戏,25-34,0.341
印度尼西亚,IDN,真金游戏,35-44,0.275
印度尼西亚,IDN,真金游戏,45-54,0.1
印度尼西亚,IDN,真金游戏,55+,0.02
印度尼西亚,IDN,电子商务,18-24,0.14
印度尼西亚,IDN,电子商务,25-34,0.41
印度尼西亚,IDN,电子商务,35-44,0.357
印度尼西亚,IDN,电子商务,45-54,0.077
印度尼西亚,IDN,电子商务,55+,0.016
印度尼西亚,IDN,按需服务,18-24,0.309
印度尼西亚,IDN,按需服务,25-34,0.397
印度尼西亚,IDN,按需服务,35-44,0.247
印度尼西亚,IDN,按需服务,45-54,0.037
印度尼西亚,IDN,按需服务,55+,0.01
印度尼西亚,IDN,旅游,18-24,0.145
印度尼西亚,IDN,旅游,25-34,0.41
印度尼西亚,IDN,旅游,35-44,0.302
印度尼西亚,IDN,旅游,45-54,0.112
印度尼西亚,IDN,旅游,55+,0.031
印度尼西亚,IDN,金融,18-24,0.079
印度尼西亚,IDN,金融,25-34,0.427
印度尼西亚,IDN,金融,35-44,0.38
印度尼西亚,IDN,金融,45-54,0.111
印度尼西亚,IDN,金融,55+,0.003
印度尼西亚,IDN,娱乐,18-24,0.402
印度尼西亚,IDN,娱乐,25-34,0.394
印度尼西亚,IDN,娱乐,35-44,0.121
印度尼西亚,IDN,娱乐,45-54,0.071
印度尼西亚,IDN,娱乐,55+,0.013
印度尼西亚,IDN,社交,18-24,0.365
印度尼西亚,IDN,社交,25-34,0.395
印度尼西亚,IDN,社交,35-44,0.151
印度尼西亚,IDN,社交,45-54,0.065
印度尼西亚,IDN,社交,55+,0.024
印度,IND,真金游戏,18-24,0.245
印度,IND,真金游戏,25-34,0.462
印度,IND,真金游戏,35-44,0.243
印度,IND,真金游戏,45-54,0.045
印度,IND,真金游戏,55+,0.006
印度,IND,电子商务,18-24,0.208
印度,IND,电子商务,25-34,0.431
印度,IND,电子商务,35-44,0.285
印度,IND,电子商务,45-54,0.065
印度,IND,电子商务,55+,0.01
印度,IND,按需服务,18-24,0.42
印度,IND,按需服务,25-34,0.366
印度,IND,按需服务,35-44,0.17
印度,IND,按需服务,45-54,0.04
印度,IND,按需服务,55+,0.005
印度,IND,旅游,18-24,0.191
印度,IND,旅游,25-34,0.51
印度,IND,旅游,35-44,0.237
印度,IND,旅游,45-54,0.053
印度,IND,旅游,55+,0.008
印度,IND,金融,18-24,0.081
印度,IND,金融,25-34,0.509
印度,IND,金融,35-44,0.328
印度,IND,金融,45-54,0.082
印度,IND,金融,55+,0.001
印度,IND,娱乐,18-24,0.488
印度,IND,娱乐,25-34,0.346
印度,IND,娱乐,35-44,0.126
印度,IND,娱乐,45-54,0.032
印度,IND,娱乐,55+,0.007
印度,IND,社交,18-24,0.478
印度,IND,社交,25-34,0.365
印度,IND,社交,35-44,0.112
印度,IND,社交,45-54,0.034
印度,IND,社交,55+,0.011
日本,JPN,真金游戏,18-24,0.065
日本,JPN,真金游戏,25-34,0.222
日本,JPN,真金游戏,35-44,0.214
日本,JPN,真金游戏,45-54,0.163
日本,JPN,真金游戏,55+,0.335
日本,JPN,电子商务,18-24,0.059
日本,JPN,电子商务,25-34,0.173
日本,JPN,电子商务,35-44,0.379
日本,JPN,电子商务,45-54,0.215
日本,JPN,电子商务,55+,0.175
日本,JPN,按需服务,18-24,0.114
日本,JPN,按需服务,25-34,0.292
日本,JPN,按需服务,35-44,0.364
日本,JPN,按需服务,45-54,0.154
日本,JPN,按需服务,55+,0.077
