Country,Country code,Value,Category
Thailand,THA,-37479407.02,Books & Reference
Thailand,THA,-2992422.394,Education
Thailand,THA,-2674082.738,News
Thailand,THA,-4857146.275,Sports
Thailand,THA,31043414.99,Generative AI
Thailand,THA,-1225558.337,Health and Fitness
U.S.,USA,-2976252589,Entertainment
U.S.,USA,-2397753747,Social Media
U.S.,USA,1203663355,Gaming
U.S.,USA,-155943312.9,Utility & Productivity
U.S.,USA,120614753.7,Other
U.S.,USA,-142631940.6,Shopping
U.S.,USA,55610925.39,Finance
U.S.,USA,-93224166.18,Books & Reference
U.S.,USA,-21464635.52,Education
U.S.,USA,-78246856.27,News
U.S.,USA,-10114652.31,Sports
U.S.,USA,1280289928,Generative AI
U.S.,USA,56317953.46,Health and Fitness
Vietnam,VNM,2322436334,Entertainment
Vietnam,VNM,-1345338887,Social Media
Vietnam,VNM,637938272.4,Gaming
Vietnam,VNM,45603778.26,Utility & Productivity
Vietnam,VNM,55833695.44,Other
Vietnam,VNM,265286837,Shopping
Vietnam,VNM,58884300.32,Finance
Vietnam,VNM,-61866096.6,Books & Reference
Vietnam,VNM,-32163325.61,Education
Vietnam,VNM,-13837810.77,News
Vietnam,VNM,2214689.199,Sports
Vietnam,VNM,55169550.35,Generative AI
Vietnam,VNM,-7985370.121,Health and Fitness
