Country,Country code,Genre,Growth,Position,Top Growing App
영국,GBR,금융,,2,Zynga Poker
영국,GBR,엔터테인먼트,,2,Duolingo
영국,GBR,소셜,,2,X
인도네시아,IDN,RMG,,2,Zynga Poker
인도네시아,IDN,이커머스,,2,MyFitnessPal
인도네시아,IDN,주문형,,2,Citymapper
인도네시아,IDN,여행,,2,The Weather Channel
인도네시아,IDN,금융,,2,Citymapper
인도네시아,IDN,엔터테인먼트,,2,Musi
인도네시아,IDN,소셜,,2,ESPN
인도,IND,RMG,,2,Roku
인도,IND,이커머스,,2,Vivino
인도,IND,주문형,,2,OfferUp
인도,IND,여행,,2,Vivino
인도,IND,금융,,2,The Weather Channel
인도,IND,엔터테인먼트,,2,Tinder
인도,IND,소셜,,2,X
일본,JPN,RMG,,2,Zynga Poker
일본,JPN,이커머스,,2,Tinder
일본,JPN,주문형,,2,Yahoo Finance
일본,JPN,여행,,2,Yahoo Finance
일본,JPN,금융,,2,Citymapper
일본,JPN,엔터테인먼트,,2,Duolingo
일본,JPN,소셜,,2,Roku
대한민국,KOR,RMG,,2,ESPN
대한민국,KOR,이커머스,,2,Tinder
대한민국,KOR,주문형,,2,Yahoo Finance
대한민국,KOR,여행,,2,ESPN
대한민국,KOR,금융,,2,MyFitnessPal
대한민국,KOR,엔터테인먼트,,2,MyFitnessPal
대한민국,KOR,소셜,,2,Roku
멕시코,MEX,RMG,,2,ESPN
멕시코,MEX,이커머스,,2,MyFitnessPal
멕시코,MEX,주문형,,2,MyFitnessPal
멕시코,MEX,여행,,2,The Weather Channel
멕시코,MEX,금융,,2,Zynga Poker
멕시코,MEX,엔터테인먼트,,2,Zynga Poker
멕시코,MEX,소셜,,2,X
미국,USA,RMG,,2,Zynga Poker
미국,USA,이커머스,,2,Zynga Poker
미국,USA,주문형,,2,Zynga Poker
미국,USA,여행,,2,Zynga Poker
미국,USA,금융,,2,Yahoo Finance
미국,USA,엔터테인먼트,,2,The Weather Channel
미국,USA,소셜,,2,Vivino
베트남,VNM,RMG,,2,Zynga Poker
베트남,VNM,이커머스,,2,Vivino
베트남,VNM,주문형,,2,ESPN
