Country,Country code,year,category,category2,revenue
모든 국가,All countries,2024,동영상 플레이어 및 편집,비게임,563946997.5
모든 국가,All countries,2022,뉴스,비게임,550617460.2
모든 국가,All countries,2017,교육,비게임,546065491.7
모든 국가,All countries,2024,쇼핑,비게임,544766375
모든 국가,All countries,2020,데이트,비게임,527914807.1
모든 국가,All countries,2024,커뮤니케이션,비게임,518771819.5
모든 국가,All countries,2017,도서,비게임,514303164
모든 국가,All countries,2017,사진 및 비디오,비게임,511102378.3
모든 국가,All countries,2023,도서 및 참고자료,비게임,510029229.1
모든 국가,All countries,2018,데이트,비게임,509670939.4
모든 국가,All countries,2022,만화,비게임,503341878.4
모든 국가,All countries,2019,비즈니스,비게임,499497585.7
모든 국가,All countries,2018,소셜,비게임,470244201.3
모든 국가,All countries,2017,건강 및 피트니스,비게임,470170254.4
모든 국가,All countries,2021,만화,비게임,463113850.2
모든 국가,All countries,2014,소셜 네트워킹,비게임,457732214.5
모든 국가,All countries,2024,금융,비게임,455931471.2
모든 국가,All countries,2015,엔터테인먼트,비게임,450617732.1
모든 국가,All countries,2019,유틸리티,비게임,436801925.8
모든 국가,All countries,2024,그래픽 및 디자인,비게임,425721661.3
모든 국가,All countries,2024,내비게이션,비게임,421719969.3
모든 국가,All countries,2023,커뮤니케이션,비게임,420546400.9
모든 국가,All countries,2024,도구,비게임,420344099.4
모든 국가,All countries,2021,뉴스,비게임,418501755
모든 국가,All countries,2022,도서 및 참고자료,비게임,416054598.3
모든 국가,All countries,2016,라이프스타일,비게임,387870339
모든 국가,All countries,2023,그래픽 및 디자인,비게임,385161665.2
모든 국가,All countries,2023,금융,비게임,383192918.6
모든 국가,All countries,2022,음악 및 오디오,비게임,382536369.5
모든 국가,All countries,2022,커뮤니케이션,비게임,378214504.4
모든 국가,All countries,2021,커뮤니케이션,비게임,371452019.1
모든 국가,All countries,2016,교육,비게임,369193615.4
모든 국가,All countries,2019,음악 및 오디오,비게임,365128994.4
모든 국가,All countries,2021,음악 및 오디오,비게임,351581962.4
모든 국가,All countries,2018,비즈니스,비게임,348407027
모든 국가,All countries,2023,내비게이션,비게임,337254325.2
모든 국가,All countries,2018,스포츠,비게임,335911812
모든 국가,All countries,2022,금융,비게임,334189208
모든 국가,All countries,2020,커뮤니케이션,비게임,333435020.7
모든 국가,All countries,2023,도구,비게임,331805206.6
모든 국가,All countries,2023,동영상 플레이어 및 편집,비게임,326988257.7
모든 국가,All countries,2020,음악 및 오디오,비게임,320522473
모든 국가,All countries,2020,뉴스,비게임,316897840
모든 국가,All countries,2015,교육,비게임,314422242.8
모든 국가,All countries,2018,유틸리티,비게임,311963881.1
모든 국가,All countries,2021,도서 및 참고자료,비게임,311006982.1
모든 국가,All countries,2022,그래픽 및 디자인,비게임,309602077.7
모든 국가,All countries,2020,만화,비게임,307839567.9
모든 국가,All countries,2017,소셜,비게임,306989295.2
모든 국가,All countries,2021,금융,비게임,306896471.4
모든 국가,All countries,2018,커뮤니케이션,비게임,306124652.4
모든 국가,All countries,2019,커뮤니케이션,비게임,305875258.6
