Country,Country code,Genre,Top subcat for time spent,%
日本,JPN,オンデマンド,天気,176
日本,JPN,旅行,食品・飲料,214
日本,JPN,ファイナンス,スポーツ,259
日本,JPN,エンターテインメント,グラフィック・デザイン,99
日本,JPN,ソーシャル,ソーシャルメディア,175
韓国,KOR,RMG,ファイナンス,212
韓国,KOR,Eコマース,天気,615
韓国,KOR,オンデマンド,旅行,191
韓国,KOR,旅行,ファイナンス,227
韓国,KOR,ファイナンス,カジュアルゲーム,341
韓国,KOR,エンターテインメント,天気,130
韓国,KOR,ソーシャル,ソーシャルメディア,175
メキシコ,MEX,RMG,旅行,222
メキシコ,MEX,Eコマース,食品・飲料,338
メキシコ,MEX,オンデマンド,ファイナンス,196
メキシコ,MEX,旅行,食品・飲料,140
メキシコ,MEX,ファイナンス,医療,536
メキシコ,MEX,エンターテインメント,書籍,117
メキシコ,MEX,ソーシャル,スポーツ,179
アメリカ合衆国,USA,RMG,ニュース,236
アメリカ合衆国,USA,Eコマース,ニュース,236
アメリカ合衆国,USA,オンデマンド,ショッピング,216
アメリカ合衆国,USA,旅行,スポーツ,183
アメリカ合衆国,USA,ファイナンス,ショッピング,163
アメリカ合衆国,USA,エンターテインメント,ライフスタイル,99
アメリカ合衆国,USA,ソーシャル,ユーティリティ,272
ベトナム,VNM,RMG,天気,404
ベトナム,VNM,Eコマース,医療,122
ベトナム,VNM,オンデマンド,健康・フィットネス,407
ベトナム,VNM,旅行,食品・飲料,318
ベトナム,VNM,ファイナンス,カジュアルゲーム,230
ベトナム,VNM,エンターテインメント,旅行,115
ベトナム,VNM,ソーシャル,食品・飲料,160
