Country,Country code,Genre,Demographics (Gender),%
Mexico,MEX,RMG,Male,0.78
Mexico,MEX,RMG,Female,0.22
Mexico,MEX,E-Commerce,Male,0.384
Mexico,MEX,E-Commerce,Female,0.616
Mexico,MEX,On Demand,Male,0.594
Mexico,MEX,On Demand,Female,0.406
Mexico,MEX,Travel,Male,0.592
Mexico,MEX,Travel,Female,0.408
Mexico,MEX,Finance,Male,0.59
Mexico,MEX,Finance,Female,0.41
Mexico,MEX,Entertainment,Male,0.481
Mexico,MEX,Entertainment,Female,0.519
Mexico,MEX,Social,Male,0.49
Mexico,MEX,Social,Female,0.51
U.S.,USA,RMG,Male,0.816
U.S.,USA,RMG,Female,0.184
U.S.,USA,E-Commerce,Male,0.348
U.S.,USA,E-Commerce,Female,0.652
U.S.,USA,On Demand,Male,0.514
U.S.,USA,On Demand,Female,0.486
U.S.,USA,Travel,Male,0.584
U.S.,USA,Travel,Female,0.416
U.S.,USA,Finance,Male,0.538
U.S.,USA,Finance,Female,0.462
U.S.,USA,Entertainment,Male,0.509
U.S.,USA,Entertainment,Female,0.491
U.S.,USA,Social,Male,0.54
U.S.,USA,Social,Female,0.46
Vietnam,VNM,RMG,Male,0.849
Vietnam,VNM,RMG,Female,0.151
Vietnam,VNM,E-Commerce,Male,0.4
Vietnam,VNM,E-Commerce,Female,0.6
Vietnam,VNM,On Demand,Male,0.646
Vietnam,VNM,On Demand,Female,0.354
Vietnam,VNM,Travel,Male,0.685
Vietnam,VNM,Travel,Female,0.315
Vietnam,VNM,Finance,Male,0.849
Vietnam,VNM,Finance,Female,0.151
Vietnam,VNM,Entertainment,Male,0.661
Vietnam,VNM,Entertainment,Female,0.339
Vietnam,VNM,Social,Male,0.48
Vietnam,VNM,Social,Female,0.52
