Country,Country code,Genre,Demographics (Gender),%
墨西哥,MEX,真金游戏,女性,0.22
墨西哥,MEX,电子商务,男性,0.384
墨西哥,MEX,电子商务,女性,0.616
墨西哥,MEX,按需服务,男性,0.594
墨西哥,MEX,按需服务,女性,0.406
墨西哥,MEX,旅游,男性,0.592
墨西哥,MEX,旅游,女性,0.408
墨西哥,MEX,金融,男性,0.59
墨西哥,MEX,金融,女性,0.41
墨西哥,MEX,娱乐,男性,0.481
墨西哥,MEX,娱乐,女性,0.519
墨西哥,MEX,社交,男性,0.49
墨西哥,MEX,社交,女性,0.51
美国,USA,真金游戏,男性,0.816
美国,USA,真金游戏,女性,0.184
美国,USA,电子商务,男性,0.348
美国,USA,电子商务,女性,0.652
美国,USA,按需服务,男性,0.514
美国,USA,按需服务,女性,0.486
美国,USA,旅游,男性,0.584
美国,USA,旅游,女性,0.416
美国,USA,金融,男性,0.538
美国,USA,金融,女性,0.462
美国,USA,娱乐,男性,0.509
美国,USA,娱乐,女性,0.491
美国,USA,社交,男性,0.54
美国,USA,社交,女性,0.46
越南,VNM,真金游戏,男性,0.849
越南,VNM,真金游戏,女性,0.151
越南,VNM,电子商务,男性,0.4
越南,VNM,电子商务,女性,0.6
越南,VNM,按需服务,男性,0.646
越南,VNM,按需服务,女性,0.354
越南,VNM,旅游,男性,0.685
越南,VNM,旅游,女性,0.315
越南,VNM,金融,男性,0.849
越南,VNM,金融,女性,0.151
越南,VNM,娱乐,男性,0.661
越南,VNM,娱乐,女性,0.339
越南,VNM,社交,男性,0.48
越南,VNM,社交,女性,0.52
