Country,Country code,year,category,category2,revenue,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2019,生活方式,非游戏,1644166960,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2024,实用工具,非游戏,1617107296,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2021,社交,非游戏,1559290849,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2022,体育,非游戏,1533295562,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2020,图书,非游戏,1469347275,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2019,生产力工具,非游戏,1293219762,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2022,商业,非游戏,1247630700,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2018,生活方式,非游戏,1242088404,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2023,实用工具,非游戏,1224723991,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2019,健康与健身,非游戏,1179680077,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2021,体育,非游戏,1169005144,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2024,交友,非游戏,1168764954,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2018,照片和视频,非游戏,1122749418,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2020,社交,非游戏,1120672767,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2019,教育,非游戏,1094079998,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2016,社交网络,非游戏,1063600005,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2016,娱乐,非游戏,1049469463,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2021,商业,非游戏,1011038859,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2019,图书,非游戏,972040409.4,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2022,实用工具,非游戏,971297741.4,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2018,生产力工具,非游戏,946558938.4,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2023,交友,非游戏,932311695.6,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2021,实用工具,非游戏,893035008.2,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2024,音乐与音频,非游戏,864471480.7,,,,,,,,,,,,,,,,,,,
中国台湾/中国香港,All countries,2018,健康与健身,非游戏,815411864.6,,,,,,,,,,,,,,,,,,,
