Country,Country code,Quarter,Year,Category,Revenue
Vietnam,VNM,2015-Q2,2015,Non-Gaming,"1,247,180.10"
Australia,AUS,2015-Q3,2015,Non-Gaming,"32,115,370.98"
Brazil,BRA,2015-Q3,2015,Non-Gaming,"18,827,575.44"
Canada,CAN,2015-Q3,2015,Non-Gaming,"26,027,070.53"
Germany,DEU,2015-Q3,2015,Non-Gaming,"39,743,408.71"
U.K.,GBR,2015-Q3,2015,Non-Gaming,"67,781,835.96"
Indonesia,IDN,2015-Q3,2015,Non-Gaming,"3,061,529.81"
Japan,JPN,2015-Q3,2015,Non-Gaming,"191,334,540.30"
South Korea,KOR,2015-Q3,2015,Non-Gaming,"34,333,713.16"
Mexico,MEX,2015-Q3,2015,Non-Gaming,"9,707,576.71"
U.S.,USA,2015-Q3,2015,Non-Gaming,"380,692,729.87"
Vietnam,VNM,2015-Q3,2015,Non-Gaming,"886,035.51"
Australia,AUS,2015-Q4,2015,Non-Gaming,"34,186,276.77"
Brazil,BRA,2015-Q4,2015,Non-Gaming,"17,484,322.15"
Canada,CAN,2015-Q4,2015,Non-Gaming,"28,083,331.39"
Germany,DEU,2015-Q4,2015,Non-Gaming,"39,114,179.99"
France,FRA,2015-Q4,2015,Non-Gaming,"32,193,118.38"
U.K.,GBR,2015-Q4,2015,Non-Gaming,"71,713,025.93"
Indonesia,IDN,2015-Q4,2015,Non-Gaming,"3,852,522.54"
India,IND,2015-Q4,2015,Non-Gaming,"4,255,449.88"
South Korea,KOR,2015-Q4,2015,Non-Gaming,"36,919,130.55"
U.S.,USA,2015-Q4,2015,Non-Gaming,"416,871,095.76"
Vietnam,VNM,2015-Q4,2015,Non-Gaming,"877,162.15"
Australia,AUS,2016-Q1,2016,Non-Gaming,"38,672,430.86"
Germany,DEU,2016-Q1,2016,Non-Gaming,"43,486,079.85"
France,FRA,2016-Q1,2016,Non-Gaming,"37,080,461.34"
U.K.,GBR,2016-Q1,2016,Non-Gaming,"78,107,091.86"
Japan,JPN,2016-Q1,2016,Non-Gaming,"204,150,988.01"
South Korea,KOR,2016-Q1,2016,Non-Gaming,"40,589,940.23"
Mexico,MEX,2016-Q1,2016,Non-Gaming,"12,093,336.16"
U.S.,USA,2016-Q1,2016,Non-Gaming,"508,785,019.28"
Vietnam,VNM,2016-Q1,2016,Non-Gaming,"879,866.38"
Australia,AUS,2016-Q2,2016,Non-Gaming,"43,417,923.66"
Canada,CAN,2016-Q2,2016,Non-Gaming,"35,899,423.02"
Germany,DEU,2016-Q2,2016,Non-Gaming,"44,270,067.14"
France,FRA,2016-Q2,2016,Non-Gaming,"37,259,616.48"
U.K.,GBR,2016-Q2,2016,Non-Gaming,"83,185,881.96"
Indonesia,IDN,2016-Q2,2016,Non-Gaming,"5,447,515.67"
India,IND,2016-Q2,2016,Non-Gaming,"6,821,458.63"
Japan,JPN,2016-Q2,2016,Non-Gaming,"229,205,170.07"
South Korea,KOR,2016-Q2,2016,Non-Gaming,"51,632,693.49"
Mexico,MEX,2016-Q2,2016,Non-Gaming,"13,451,840.34"
U.S.,USA,2016-Q2,2016,Non-Gaming,"584,934,882.91"
Australia,AUS,2016-Q3,2016,Non-Gaming,"45,672,946.74"
Germany,DEU,2016-Q3,2016,Non-Gaming,"46,394,936.71"
U.K.,GBR,2016-Q3,2016,Non-Gaming,"80,312,355.25"
South Korea,KOR,2016-Q3,2016,Non-Gaming,"65,292,723.36"
Mexico,MEX,2016-Q3,2016,Non-Gaming,"13,668,186.28"
