Country,Country code,Quarter,Year,Category,Revenue
U.K.,GBR,2021-Q2,2021,Non-Gaming,"404,218,451.08"
Indonesia,IDN,2021-Q2,2021,Non-Gaming,"44,368,315.50"
India,IND,2021-Q2,2021,Non-Gaming,"70,017,328.18"
Japan,JPN,2021-Q2,2021,Non-Gaming,"1,216,934,746.41"
South Korea,KOR,2021-Q2,2021,Non-Gaming,"199,171,204.10"
Mexico,MEX,2021-Q2,2021,Non-Gaming,"64,005,249.01"
U.S.,USA,2021-Q2,2021,Non-Gaming,"3,687,854,199.70"
Vietnam,VNM,2021-Q2,2021,Non-Gaming,"23,109,610.29"
Australia,AUS,2021-Q3,2021,Non-Gaming,"250,610,402.36"
Brazil,BRA,2021-Q3,2021,Non-Gaming,"124,420,415.84"
Canada,CAN,2021-Q3,2021,Non-Gaming,"267,132,414.23"
Germany,DEU,2021-Q3,2021,Non-Gaming,"262,400,171.59"
France,FRA,2021-Q3,2021,Non-Gaming,"213,166,081.90"
U.K.,GBR,2021-Q3,2021,Non-Gaming,"416,138,989.82"
Indonesia,IDN,2021-Q3,2021,Non-Gaming,"47,576,907.34"
India,IND,2021-Q3,2021,Non-Gaming,"67,677,437.78"
Japan,JPN,2021-Q3,2021,Non-Gaming,"1,308,499,333.44"
South Korea,KOR,2021-Q3,2021,Non-Gaming,"209,102,932.40"
Mexico,MEX,2021-Q3,2021,Non-Gaming,"72,648,243.31"
U.S.,USA,2021-Q3,2021,Non-Gaming,"4,008,674,977.80"
Vietnam,VNM,2021-Q3,2021,Non-Gaming,"29,296,975.23"
Australia,AUS,2021-Q4,2021,Non-Gaming,"269,174,073.94"
Brazil,BRA,2021-Q4,2021,Non-Gaming,"132,937,157.46"
Canada,CAN,2021-Q4,2021,Non-Gaming,"280,326,853.60"
Germany,DEU,2021-Q4,2021,Non-Gaming,"283,587,758.77"
France,FRA,2021-Q4,2021,Non-Gaming,"216,904,823.36"
U.K.,GBR,2021-Q4,2021,Non-Gaming,"424,537,907.94"
Indonesia,IDN,2021-Q4,2021,Non-Gaming,"50,605,172.58"
India,IND,2021-Q4,2021,Non-Gaming,"59,021,204.61"
Japan,JPN,2021-Q4,2021,Non-Gaming,"1,281,366,357.19"
South Korea,KOR,2021-Q4,2021,Non-Gaming,"212,897,194.72"
Mexico,MEX,2021-Q4,2021,Non-Gaming,"73,852,511.47"
U.S.,USA,2021-Q4,2021,Non-Gaming,"4,214,529,694.64"
Vietnam,VNM,2021-Q4,2021,Non-Gaming,"31,400,822.50"
Australia,AUS,2022-Q1,2022,Non-Gaming,"275,964,168.87"
Brazil,BRA,2022-Q1,2022,Non-Gaming,"158,267,748.05"
Canada,CAN,2022-Q1,2022,Non-Gaming,"301,010,853.90"
Germany,DEU,2022-Q1,2022,Non-Gaming,"307,513,076.46"
France,FRA,2022-Q1,2022,Non-Gaming,"234,438,548.46"
U.K.,GBR,2022-Q1,2022,Non-Gaming,"458,874,708.17"
Indonesia,IDN,2022-Q1,2022,Non-Gaming,"53,228,591.25"
India,IND,2022-Q1,2022,Non-Gaming,"62,408,097.04"
Japan,JPN,2022-Q1,2022,Non-Gaming,"1,264,761,153.06"
South Korea,KOR,2022-Q1,2022,Non-Gaming,"219,678,689.37"
Mexico,MEX,2022-Q1,2022,Non-Gaming,"80,826,076.57"
U.S.,USA,2022-Q1,2022,Non-Gaming,"4,426,148,177.70"
Vietnam,VNM,2022-Q1,2022,Non-Gaming,"28,377,847.76"
Australia,AUS,2022-Q2,2022,Non-Gaming,"270,166,189.88"
Brazil,BRA,2022-Q2,2022,Non-Gaming,"186,902,976.58"
Canada,CAN,2022-Q2,2022,Non-Gaming,"298,398,244.24"
Germany,DEU,2022-Q2,2022,Non-Gaming,"308,862,332.15"
France,FRA,2022-Q2,2022,Non-Gaming,"230,461,127.17"
U.K.,GBR,2022-Q2,2022,Non-Gaming,"430,385,751.06"
Indonesia,IDN,2022-Q2,2022,Non-Gaming,"52,890,244.16"
India,IND,2022-Q2,2022,Non-Gaming,"70,348,851.59"
Japan,JPN,2022-Q2,2022,Non-Gaming,"1,200,741,705.24"
South Korea,KOR,2022-Q2,2022,Non-Gaming,"216,184,079.70"
Mexico,MEX,2022-Q2,2022,Non-Gaming,"91,154,366.43"
U.S.,USA,2022-Q2,2022,Non-Gaming,"4,811,866,343.26"
Vietnam,VNM,2022-Q2,2022,Non-Gaming,"27,601,168.98"
Australia,AUS,2022-Q3,2022,Non-Gaming,"279,298,928.38"
Brazil,BRA,2022-Q3,2022,Non-Gaming,"197,233,068.99"
Canada,CAN,2022-Q3,2022,Non-Gaming,"311,980,575.83"
Germany,DEU,2022-Q3,2022,Non-Gaming,"313,414,202.61"
France,FRA,2022-Q3,2022,Non-Gaming,"230,838,062.15"
U.K.,GBR,2022-Q3,2022,Non-Gaming,"432,758,926.34"
Indonesia,IDN,2022-Q3,2022,Non-Gaming,"62,652,245.99"
India,IND,2022-Q3,2022,Non-Gaming,"75,654,321.85"
Japan,JPN,2022-Q3,2022,Non-Gaming,"1,179,503,539.97"
South Korea,KOR,2022-Q3,2022,Non-Gaming,"246,877,045.86"
Mexico,MEX,2022-Q3,2022,Non-Gaming,"101,058,475.14"
U.S.,USA,2022-Q3,2022,Non-Gaming,"5,041,360,527.30"
Vietnam,VNM,2022-Q3,2022,Non-Gaming,"32,123,385.75"
Australia,AUS,2022-Q4,2022,Non-Gaming,"280,787,028.22"
Brazil,BRA,2022-Q4,2022,Non-Gaming,"216,336,090.43"
Canada,CAN,2022-Q4,2022,Non-Gaming,"319,377,702.09"
Germany,DEU,2022-Q4,2022,Non-Gaming,"328,340,874.84"
France,FRA,2022-Q4,2022,Non-Gaming,"238,952,989.60"
U.K.,GBR,2022-Q4,2022,Non-Gaming,"446,114,916.10"
Indonesia,IDN,2022-Q4,2022,Non-Gaming,"67,056,719.97"
India,IND,2022-Q4,2022,Non-Gaming,"81,356,033.86"
Japan,JPN,2022-Q4,2022,Non-Gaming,"1,137,407,200.15"
South Korea,KOR,2022-Q4,2022,Non-Gaming,"261,919,170.34"
Mexico,MEX,2022-Q4,2022,Non-Gaming,"109,058,325.77"
U.S.,USA,2022-Q4,2022,Non-Gaming,"5,349,036,419.31"
Vietnam,VNM,2022-Q4,2022,Non-Gaming,"31,486,581.60"
Australia,AUS,2023-Q1,2023,Non-Gaming,"306,064,397.44"
Brazil,BRA,2023-Q1,2023,Non-Gaming,"238,495,177.86"
Canada,CAN,2023-Q1,2023,Non-Gaming,"335,235,885.97"
Germany,DEU,2023-Q1,2023,Non-Gaming,"371,565,671.01"
France,FRA,2023-Q1,2023,Non-Gaming,"268,661,180.84"
U.K.,GBR,2023-Q1,2023,Non-Gaming,"499,597,541.05"
Indonesia,IDN,2023-Q1,2023,Non-Gaming,"68,919,992.60"
India,IND,2023-Q1,2023,Non-Gaming,"86,566,345.05"
Japan,JPN,2023-Q1,2023,Non-Gaming,"1,245,446,140.22"
South Korea,KOR,2023-Q1,2023,Non-Gaming,"310,341,000.16"
Mexico,MEX,2023-Q1,2023,Non-Gaming,"130,148,233.06"
U.S.,USA,2023-Q1,2023,Non-Gaming,"5,607,052,441.27"
Vietnam,VNM,2023-Q1,2023,Non-Gaming,"32,829,259.45"
Australia,AUS,2023-Q2,2023,Non-Gaming,"305,300,058.84"
Brazil,BRA,2023-Q2,2023,Non-Gaming,"264,249,881.36"
Canada,CAN,2023-Q2,2023,Non-Gaming,"332,161,199.66"
Germany,DEU,2023-Q2,2023,Non-Gaming,"399,711,064.62"
France,FRA,2023-Q2,2023,Non-Gaming,"283,757,291.29"
U.K.,GBR,2023-Q2,2023,Non-Gaming,"542,280,424.34"
Indonesia,IDN,2023-Q2,2023,Non-Gaming,"76,289,361.06"
India,IND,2023-Q2,2023,Non-Gaming,"92,125,742.69"
Japan,JPN,2023-Q2,2023,Non-Gaming,"1,337,783,262.42"
South Korea,KOR,2023-Q2,2023,Non-Gaming,"306,823,953.23"
Mexico,MEX,2023-Q2,2023,Non-Gaming,"160,944,164.95"
U.S.,USA,2023-Q2,2023,Non-Gaming,"5,820,446,732.99"
Vietnam,VNM,2023-Q2,2023,Non-Gaming,"34,659,101.31"
Australia,AUS,2023-Q3,2023,Non-Gaming,"317,938,828.60"
Brazil,BRA,2023-Q3,2023,Non-Gaming,"293,511,410.82"
Canada,CAN,2023-Q3,2023,Non-Gaming,"355,437,918.71"
Germany,DEU,2023-Q3,2023,Non-Gaming,"430,317,220.48"
France,FRA,2023-Q3,2023,Non-Gaming,"305,718,407.89"
U.K.,GBR,2023-Q3,2023,Non-Gaming,"601,023,217.88"
Indonesia,IDN,2023-Q3,2023,Non-Gaming,"102,935,624.34"
India,IND,2023-Q3,2023,Non-Gaming,"91,803,637.64"
Japan,JPN,2023-Q3,2023,Non-Gaming,"1,226,084,603.41"
South Korea,KOR,2023-Q3,2023,Non-Gaming,"331,733,183.66"
Mexico,MEX,2023-Q3,2023,Non-Gaming,"170,791,556.99"
U.S.,USA,2023-Q3,2023,Non-Gaming,"6,109,502,784.49"
Vietnam,VNM,2023-Q3,2023,Non-Gaming,"36,847,410.59"
Australia,AUS,2023-Q4,2023,Non-Gaming,"340,859,739.81"
Brazil,BRA,2023-Q4,2023,Non-Gaming,"289,360,475.43"
Canada,CAN,2023-Q4,2023,Non-Gaming,"373,102,586.62"
Germany,DEU,2023-Q4,2023,Non-Gaming,"449,668,734.01"
France,FRA,2023-Q4,2023,Non-Gaming,"311,686,271.99"
U.K.,GBR,2023-Q4,2023,Non-Gaming,"605,016,047.69"
Indonesia,IDN,2023-Q4,2023,Non-Gaming,"100,325,823.95"
India,IND,2023-Q4,2023,Non-Gaming,"94,663,369.75"
Japan,JPN,2023-Q4,2023,Non-Gaming,"1,262,670,920.44"
South Korea,KOR,2023-Q4,2023,Non-Gaming,"343,393,685.54"
Mexico,MEX,2023-Q4,2023,Non-Gaming,"190,715,132.35"
U.S.,USA,2023-Q4,2023,Non-Gaming,"6,461,902,616.67"
Vietnam,VNM,2023-Q4,2023,Non-Gaming,"38,556,943.14"
Australia,AUS,2024-Q1,2024,Non-Gaming,"366,237,472.02"
Brazil,BRA,2024-Q1,2024,Non-Gaming,"308,207,704.35"
Canada,CAN,2024-Q1,2024,Non-Gaming,"394,972,814.14"
Germany,DEU,2024-Q1,2024,Non-Gaming,"492,027,408.25"
France,FRA,2024-Q1,2024,Non-Gaming,"337,316,537.58"
U.K.,GBR,2024-Q1,2024,Non-Gaming,"650,530,002.50"
Indonesia,IDN,2024-Q1,2024,Non-Gaming,"110,553,950.28"
India,IND,2024-Q1,2024,Non-Gaming,"102,268,272.17"
Japan,JPN,2024-Q1,2024,Non-Gaming,"1,303,047,731.80"
South Korea,KOR,2024-Q1,2024,Non-Gaming,"354,039,862.50"
Mexico,MEX,2024-Q1,2024,Non-Gaming,"218,365,448.69"
U.S.,USA,2024-Q1,2024,Non-Gaming,"6,971,420,596.82"
Vietnam,VNM,2024-Q1,2024,Non-Gaming,"39,389,486.93"
Australia,AUS,2024-Q2,2024,Non-Gaming,"366,853,087.54"
Brazil,BRA,2024-Q2,2024,Non-Gaming,"306,482,132.96"
Canada,CAN,2024-Q2,2024,Non-Gaming,"401,795,684.24"
Germany,DEU,2024-Q2,2024,Non-Gaming,"539,210,489.19"
France,FRA,2024-Q2,2024,Non-Gaming,"384,356,167.42"
U.K.,GBR,2024-Q2,2024,Non-Gaming,"701,478,315.52"
Indonesia,IDN,2024-Q2,2024,Non-Gaming,"114,837,917.37"
India,IND,2024-Q2,2024,Non-Gaming,"115,622,759.36"
Japan,JPN,2024-Q2,2024,Non-Gaming,"1,347,056,929.33"
South Korea,KOR,2024-Q2,2024,Non-Gaming,"350,524,551.73"
Mexico,MEX,2024-Q2,2024,Non-Gaming,"234,275,042.86"
U.S.,USA,2024-Q2,2024,Non-Gaming,"7,251,277,330.66"
Vietnam,VNM,2024-Q2,2024,Non-Gaming,"39,826,961.17"
Australia,AUS,2024-Q3,2024,Non-Gaming,"383,399,772.97"
Brazil,BRA,2024-Q3,2024,Non-Gaming,"343,459,574.51"
Canada,CAN,2024-Q3,2024,Non-Gaming,"431,057,497.75"
Germany,DEU,2024-Q3,2024,Non-Gaming,"620,578,943.98"
France,FRA,2024-Q3,2024,Non-Gaming,"462,097,848.94"
U.K.,GBR,2024-Q3,2024,Non-Gaming,"781,269,863.97"
Indonesia,IDN,2024-Q3,2024,Non-Gaming,"148,072,859.73"
India,IND,2024-Q3,2024,Non-Gaming,"125,389,163.17"
Japan,JPN,2024-Q3,2024,Non-Gaming,"1,400,873,653.73"
South Korea,KOR,2024-Q3,2024,Non-Gaming,"407,064,479.22"
Mexico,MEX,2024-Q3,2024,Non-Gaming,"229,541,556.57"
U.S.,USA,2024-Q3,2024,Non-Gaming,"7,523,595,162.76"
Vietnam,VNM,2024-Q3,2024,Non-Gaming,"45,097,244.85"
Australia,AUS,2024-Q4,2024,Non-Gaming,"411,825,250.23"
Brazil,BRA,2024-Q4,2024,Non-Gaming,"383,760,582.46"
Canada,CAN,2024-Q4,2024,Non-Gaming,"441,725,224.58"
Germany,DEU,2024-Q4,2024,Non-Gaming,"637,455,245.10"
France,FRA,2024-Q4,2024,Non-Gaming,"452,957,173.19"
U.K.,GBR,2024-Q4,2024,Non-Gaming,"813,818,590.89"
Indonesia,IDN,2024-Q4,2024,Non-Gaming,"172,061,010.51"
India,IND,2024-Q4,2024,Non-Gaming,"139,424,715.89"
Japan,JPN,2024-Q4,2024,Non-Gaming,"1,351,332,319.76"
South Korea,KOR,2024-Q4,2024,Non-Gaming,"424,048,489.66"
Mexico,MEX,2024-Q4,2024,Non-Gaming,"241,681,389.91"
U.S.,USA,2024-Q4,2024,Non-Gaming,"7,881,316,665.05"
Vietnam,VNM,2024-Q4,2024,Non-Gaming,"48,894,741.33"
Australia,AUS,2014-Q1,2014,Gaming,"108,756,003.78"
Brazil,BRA,2014-Q1,2014,Gaming,"24,585,951.59"
Canada,CAN,2014-Q1,2014,Gaming,"97,920,821.21"
Germany,DEU,2014-Q1,2014,Gaming,"152,213,820.51"
France,FRA,2014-Q1,2014,Gaming,"101,183,510.33"
U.K.,GBR,2014-Q1,2014,Gaming,"183,596,213.68"
Indonesia,IDN,2014-Q1,2014,Gaming,"10,900,119.10"
India,IND,2014-Q1,2014,Gaming,"4,262,349.37"
Japan,JPN,2014-Q1,2014,Gaming,"1,068,455,697.78"
South Korea,KOR,2014-Q1,2014,Gaming,"210,268,812.71"
Mexico,MEX,2014-Q1,2014,Gaming,"15,853,947.52"
U.S.,USA,2014-Q1,2014,Gaming,"1,111,123,001.38"
Vietnam,VNM,2014-Q1,2014,Gaming,"1,882,063.54"
Australia,AUS,2014-Q2,2014,Gaming,"130,857,763.71"
Brazil,BRA,2014-Q2,2014,Gaming,"29,392,727.68"
Canada,CAN,2014-Q2,2014,Gaming,"107,138,731.97"
Germany,DEU,2014-Q2,2014,Gaming,"147,064,390.22"
France,FRA,2014-Q2,2014,Gaming,"111,353,235.10"
U.K.,GBR,2014-Q2,2014,Gaming,"206,664,619.18"
Indonesia,IDN,2014-Q2,2014,Gaming,"13,923,485.57"
India,IND,2014-Q2,2014,Gaming,"4,639,084.71"
Japan,JPN,2014-Q2,2014,Gaming,"1,316,591,474.25"
South Korea,KOR,2014-Q2,2014,Gaming,"275,272,582.86"
Mexico,MEX,2014-Q2,2014,Gaming,"16,339,960.43"
U.S.,USA,2014-Q2,2014,Gaming,"1,249,692,057.10"
Vietnam,VNM,2014-Q2,2014,Gaming,"2,033,801.70"
Australia,AUS,2014-Q3,2014,Gaming,"154,634,155.74"
Brazil,BRA,2014-Q3,2014,Gaming,"31,699,058.17"
Canada,CAN,2014-Q3,2014,Gaming,"121,283,240.49"
Germany,DEU,2014-Q3,2014,Gaming,"141,184,150.45"
France,FRA,2014-Q3,2014,Gaming,"113,086,187.01"
U.K.,GBR,2014-Q3,2014,Gaming,"213,084,408.38"
Indonesia,IDN,2014-Q3,2014,Gaming,"16,672,351.90"
India,IND,2014-Q3,2014,Gaming,"5,623,066.13"
Japan,JPN,2014-Q3,2014,Gaming,"1,547,046,300.08"
South Korea,KOR,2014-Q3,2014,Gaming,"465,370,335.37"
Mexico,MEX,2014-Q3,2014,Gaming,"16,680,488.95"
U.S.,USA,2014-Q3,2014,Gaming,"1,344,805,654.51"
Vietnam,VNM,2014-Q3,2014,Gaming,"3,126,976.72"
Australia,AUS,2014-Q4,2014,Gaming,"138,915,711.09"
Brazil,BRA,2014-Q4,2014,Gaming,"32,823,696.65"
Canada,CAN,2014-Q4,2014,Gaming,"128,776,915.84"
Germany,DEU,2014-Q4,2014,Gaming,"153,660,660.13"
France,FRA,2014-Q4,2014,Gaming,"113,210,633.73"
U.K.,GBR,2014-Q4,2014,Gaming,"220,778,249.00"
Indonesia,IDN,2014-Q4,2014,Gaming,"15,154,323.55"
India,IND,2014-Q4,2014,Gaming,"6,696,419.50"
Japan,JPN,2014-Q4,2014,Gaming,"1,701,061,180.18"
South Korea,KOR,2014-Q4,2014,Gaming,"491,305,736.39"
Mexico,MEX,2014-Q4,2014,Gaming,"16,855,722.42"
U.S.,USA,2014-Q4,2014,Gaming,"1,426,775,390.06"
Vietnam,VNM,2014-Q4,2014,Gaming,"3,451,780.32"
Australia,AUS,2015-Q1,2015,Gaming,"132,730,705.68"
Brazil,BRA,2015-Q1,2015,Gaming,"38,007,149.02"
Canada,CAN,2015-Q1,2015,Gaming,"132,396,033.65"
Germany,DEU,2015-Q1,2015,Gaming,"141,466,729.72"
France,FRA,2015-Q1,2015,Gaming,"104,003,783.49"
U.K.,GBR,2015-Q1,2015,Gaming,"200,131,783.68"
Indonesia,IDN,2015-Q1,2015,Gaming,"13,626,406.46"
India,IND,2015-Q1,2015,Gaming,"6,800,814.62"
Japan,JPN,2015-Q1,2015,Gaming,"1,813,381,556.23"
South Korea,KOR,2015-Q1,2015,Gaming,"473,697,842.12"
Mexico,MEX,2015-Q1,2015,Gaming,"17,635,650.57"
U.S.,USA,2015-Q1,2015,Gaming,"1,721,599,044.94"
Vietnam,VNM,2015-Q1,2015,Gaming,"4,644,696.34"
Australia,AUS,2015-Q2,2015,Gaming,"141,711,476.24"
Brazil,BRA,2015-Q2,2015,Gaming,"35,993,140.77"
Canada,CAN,2015-Q2,2015,Gaming,"130,667,669.00"
Germany,DEU,2015-Q2,2015,Gaming,"140,279,784.11"
France,FRA,2015-Q2,2015,Gaming,"105,212,446.85"
U.K.,GBR,2015-Q2,2015,Gaming,"205,772,175.29"
Indonesia,IDN,2015-Q2,2015,Gaming,"14,281,391.83"
India,IND,2015-Q2,2015,Gaming,"7,870,793.36"
Japan,JPN,2015-Q2,2015,Gaming,"1,787,345,574.26"
South Korea,KOR,2015-Q2,2015,Gaming,"444,908,950.86"
Mexico,MEX,2015-Q2,2015,Gaming,"17,867,544.28"
U.S.,USA,2015-Q2,2015,Gaming,"1,669,848,414.51"
Vietnam,VNM,2015-Q2,2015,Gaming,"5,261,303.96"
Australia,AUS,2015-Q3,2015,Gaming,"144,400,079.26"
Brazil,BRA,2015-Q3,2015,Gaming,"34,803,558.73"
Canada,CAN,2015-Q3,2015,Gaming,"129,814,467.87"
Germany,DEU,2015-Q3,2015,Gaming,"148,384,368.34"
France,FRA,2015-Q3,2015,Gaming,"115,581,582.92"
U.K.,GBR,2015-Q3,2015,Gaming,"222,794,804.87"
Indonesia,IDN,2015-Q3,2015,Gaming,"17,522,082.82"
India,IND,2015-Q3,2015,Gaming,"9,665,832.44"
Japan,JPN,2015-Q3,2015,Gaming,"1,889,661,747.29"
South Korea,KOR,2015-Q3,2015,Gaming,"507,950,203.88"
Mexico,MEX,2015-Q3,2015,Gaming,"21,532,420.07"
U.S.,USA,2015-Q3,2015,Gaming,"1,716,940,028.94"
Vietnam,VNM,2015-Q3,2015,Gaming,"5,206,204.82"
Australia,AUS,2015-Q4,2015,Gaming,"138,797,665.43"
Brazil,BRA,2015-Q4,2015,Gaming,"35,539,439.35"
Canada,CAN,2015-Q4,2015,Gaming,"139,913,185.97"
Germany,DEU,2015-Q4,2015,Gaming,"172,121,362.66"
France,FRA,2015-Q4,2015,Gaming,"127,748,303.64"
U.K.,GBR,2015-Q4,2015,Gaming,"219,864,634.70"
Indonesia,IDN,2015-Q4,2015,Gaming,"20,239,626.39"
India,IND,2015-Q4,2015,Gaming,"11,269,904.75"
Japan,JPN,2015-Q4,2015,Gaming,"2,445,727,568.24"
South Korea,KOR,2015-Q4,2015,Gaming,"519,498,792.13"
Mexico,MEX,2015-Q4,2015,Gaming,"24,881,659.91"
U.S.,USA,2015-Q4,2015,Gaming,"1,857,476,835.89"
Vietnam,VNM,2015-Q4,2015,Gaming,"5,894,498.73"
Australia,AUS,2016-Q1,2016,Gaming,"156,813,288.83"
Brazil,BRA,2016-Q1,2016,Gaming,"38,002,998.02"
Canada,CAN,2016-Q1,2016,Gaming,"149,619,693.52"
Germany,DEU,2016-Q1,2016,Gaming,"190,024,183.74"
France,FRA,2016-Q1,2016,Gaming,"159,315,172.20"
U.K.,GBR,2016-Q1,2016,Gaming,"235,522,538.33"
Indonesia,IDN,2016-Q1,2016,Gaming,"26,789,783.55"
India,IND,2016-Q1,2016,Gaming,"12,288,167.47"
Japan,JPN,2016-Q1,2016,Gaming,"2,451,374,499.02"
South Korea,KOR,2016-Q1,2016,Gaming,"470,877,673.09"
Mexico,MEX,2016-Q1,2016,Gaming,"26,059,461.09"
U.S.,USA,2016-Q1,2016,Gaming,"2,120,522,019.25"
Vietnam,VNM,2016-Q1,2016,Gaming,"6,269,786.99"
Australia,AUS,2016-Q2,2016,Gaming,"172,074,530.40"
Brazil,BRA,2016-Q2,2016,Gaming,"41,287,818.34"
Canada,CAN,2016-Q2,2016,Gaming,"163,054,910.94"
Germany,DEU,2016-Q2,2016,Gaming,"194,437,422.35"
France,FRA,2016-Q2,2016,Gaming,"142,500,596.34"
U.K.,GBR,2016-Q2,2016,Gaming,"234,501,787.92"
Indonesia,IDN,2016-Q2,2016,Gaming,"32,358,065.69"
India,IND,2016-Q2,2016,Gaming,"13,373,720.51"
Japan,JPN,2016-Q2,2016,Gaming,"2,583,798,448.01"
South Korea,KOR,2016-Q2,2016,Gaming,"510,820,590.52"
Mexico,MEX,2016-Q2,2016,Gaming,"26,208,496.39"
U.S.,USA,2016-Q2,2016,Gaming,"2,134,337,272.02"
Vietnam,VNM,2016-Q2,2016,Gaming,"6,703,592.88"
Australia,AUS,2016-Q3,2016,Gaming,"187,243,085.97"
Brazil,BRA,2016-Q3,2016,Gaming,"45,819,959.96"
Canada,CAN,2016-Q3,2016,Gaming,"166,844,713.63"
Germany,DEU,2016-Q3,2016,Gaming,"208,493,887.55"
France,FRA,2016-Q3,2016,Gaming,"144,520,414.32"
U.K.,GBR,2016-Q3,2016,Gaming,"233,793,552.81"
Indonesia,IDN,2016-Q3,2016,Gaming,"35,111,663.59"
India,IND,2016-Q3,2016,Gaming,"15,887,066.00"
Japan,JPN,2016-Q3,2016,Gaming,"2,880,408,875.37"
South Korea,KOR,2016-Q3,2016,Gaming,"670,534,277.96"
Mexico,MEX,2016-Q3,2016,Gaming,"28,899,857.35"
U.S.,USA,2016-Q3,2016,Gaming,"2,277,430,408.62"
Vietnam,VNM,2016-Q3,2016,Gaming,"7,686,816.91"
Australia,AUS,2016-Q4,2016,Gaming,"183,906,886.30"
Brazil,BRA,2016-Q4,2016,Gaming,"47,450,203.61"
Canada,CAN,2016-Q4,2016,Gaming,"180,109,619.29"
Germany,DEU,2016-Q4,2016,Gaming,"246,853,011.24"
France,FRA,2016-Q4,2016,Gaming,"160,230,468.01"
U.K.,GBR,2016-Q4,2016,Gaming,"244,980,401.37"
Indonesia,IDN,2016-Q4,2016,Gaming,"35,342,693.31"
India,IND,2016-Q4,2016,Gaming,"18,377,281.82"
Japan,JPN,2016-Q4,2016,Gaming,"2,899,196,810.19"
South Korea,KOR,2016-Q4,2016,Gaming,"800,803,051.79"
Mexico,MEX,2016-Q4,2016,Gaming,"32,152,773.10"
U.S.,USA,2016-Q4,2016,Gaming,"2,388,433,037.01"
Vietnam,VNM,2016-Q4,2016,Gaming,"7,887,289.14"
Australia,AUS,2017-Q1,2017,Gaming,"173,425,374.60"
Brazil,BRA,2017-Q1,2017,Gaming,"49,421,232.15"
Canada,CAN,2017-Q1,2017,Gaming,"188,102,446.44"
Germany,DEU,2017-Q1,2017,Gaming,"246,329,101.83"
France,FRA,2017-Q1,2017,Gaming,"160,149,466.12"
U.K.,GBR,2017-Q1,2017,Gaming,"250,370,012.95"
Indonesia,IDN,2017-Q1,2017,Gaming,"40,587,556.05"
India,IND,2017-Q1,2017,Gaming,"22,846,283.34"
Japan,JPN,2017-Q1,2017,Gaming,"3,135,735,681.86"
South Korea,KOR,2017-Q1,2017,Gaming,"735,089,601.82"
Mexico,MEX,2017-Q1,2017,Gaming,"33,365,625.77"
U.S.,USA,2017-Q1,2017,Gaming,"2,645,975,429.36"
Vietnam,VNM,2017-Q1,2017,Gaming,"10,129,045.70"
Australia,AUS,2017-Q2,2017,Gaming,"187,335,368.70"
Brazil,BRA,2017-Q2,2017,Gaming,"53,643,184.42"
Canada,CAN,2017-Q2,2017,Gaming,"187,927,444.23"
Germany,DEU,2017-Q2,2017,Gaming,"252,622,405.45"
France,FRA,2017-Q2,2017,Gaming,"158,797,305.41"
U.K.,GBR,2017-Q2,2017,Gaming,"247,611,070.69"
Indonesia,IDN,2017-Q2,2017,Gaming,"44,568,089.07"
India,IND,2017-Q2,2017,Gaming,"28,734,256.10"
Japan,JPN,2017-Q2,2017,Gaming,"2,818,645,582.31"
South Korea,KOR,2017-Q2,2017,Gaming,"636,646,125.26"
Mexico,MEX,2017-Q2,2017,Gaming,"35,578,380.52"
U.S.,USA,2017-Q2,2017,Gaming,"2,663,304,570.96"
Vietnam,VNM,2017-Q2,2017,Gaming,"13,542,166.54"
Australia,AUS,2017-Q3,2017,Gaming,"210,896,842.56"
Brazil,BRA,2017-Q3,2017,Gaming,"56,107,867.10"
Canada,CAN,2017-Q3,2017,Gaming,"207,465,974.46"
Germany,DEU,2017-Q3,2017,Gaming,"278,750,915.74"
France,FRA,2017-Q3,2017,Gaming,"184,495,704.61"
U.K.,GBR,2017-Q3,2017,Gaming,"248,697,590.76"
Indonesia,IDN,2017-Q3,2017,Gaming,"44,920,103.23"
India,IND,2017-Q3,2017,Gaming,"25,322,941.99"
Japan,JPN,2017-Q3,2017,Gaming,"3,055,516,338.94"
South Korea,KOR,2017-Q3,2017,Gaming,"892,439,366.82"
Mexico,MEX,2017-Q3,2017,Gaming,"38,186,293.07"
U.S.,USA,2017-Q3,2017,Gaming,"2,747,936,264.92"
Vietnam,VNM,2017-Q3,2017,Gaming,"14,982,413.29"
Australia,AUS,2017-Q4,2017,Gaming,"203,687,960.34"
Brazil,BRA,2017-Q4,2017,Gaming,"58,958,248.86"
Canada,CAN,2017-Q4,2017,Gaming,"210,196,628.28"
Germany,DEU,2017-Q4,2017,Gaming,"305,247,162.83"
France,FRA,2017-Q4,2017,Gaming,"200,037,986.59"
U.K.,GBR,2017-Q4,2017,Gaming,"255,704,755.61"
Indonesia,IDN,2017-Q4,2017,Gaming,"46,959,673.04"
India,IND,2017-Q4,2017,Gaming,"20,303,837.29"
Japan,JPN,2017-Q4,2017,Gaming,"3,009,200,562.91"
South Korea,KOR,2017-Q4,2017,Gaming,"832,593,091.73"
Mexico,MEX,2017-Q4,2017,Gaming,"36,638,263.99"
U.S.,USA,2017-Q4,2017,Gaming,"2,845,916,088.34"
Vietnam,VNM,2017-Q4,2017,Gaming,"17,335,550.44"
Australia,AUS,2018-Q1,2018,Gaming,"200,869,664.06"
