Country,Country code,Category,hour_of_day,value
澳大利亚,AUS,生产力工具,4,
澳大利亚,AUS,房地产,4,
澳大利亚,AUS,真金游戏,4,
澳大利亚,AUS,购物,4,-1.6348
澳大利亚,AUS,社交,4,
澳大利亚,AUS,社交媒体,4,-1.922
澳大利亚,AUS,体育,4,-1.6729
澳大利亚,AUS,工具,4,
澳大利亚,AUS,旅游,4,-1.5189
澳大利亚,AUS,旅行与导航,4,
澳大利亚,AUS,实用与效率,4,-1.5245
澳大利亚,AUS,天气,4,
澳大利亚,AUS,艺术与设计,5,
澳大利亚,AUS,汽车,5,
澳大利亚,AUS,图书与工具书,5,-1.663
澳大利亚,AUS,商业,5,
澳大利亚,AUS,教育,5,-1.0983
澳大利亚,AUS,娱乐,5,-1.5179
澳大利亚,AUS,家庭与关系,5,
澳大利亚,AUS,金融,5,
澳大利亚,AUS,美食佳饮,5,
澳大利亚,AUS,生成式 AI,5,-1.6106
澳大利亚,AUS,图形与设计,5,
澳大利亚,AUS,健康与健身,5,-1.0989
澳大利亚,AUS,生活方式,5,
澳大利亚,AUS,医疗,5,
澳大利亚,AUS,音乐,5,
澳大利亚,AUS,新闻与杂志,5,
澳大利亚,AUS,照片和视频,5,-1.5811
澳大利亚,AUS,生产力工具,5,
澳大利亚,AUS,房地产,5,
澳大利亚,AUS,真金游戏,5,
澳大利亚,AUS,购物,5,-1.4182
澳大利亚,AUS,社交,5,
澳大利亚,AUS,社交媒体,5,-1.6042
澳大利亚,AUS,体育,5,-1.0431
澳大利亚,AUS,工具,5,
澳大利亚,AUS,旅游,5,-1.0353
澳大利亚,AUS,旅行与导航,5,
澳大利亚,AUS,实用与效率,5,-0.5353
澳大利亚,AUS,天气,5,
澳大利亚,AUS,艺术与设计,6,
澳大利亚,AUS,汽车,6,
澳大利亚,AUS,图书与工具书,6,-1.0169
澳大利亚,AUS,商业,6,
澳大利亚,AUS,教育,6,-0.598
澳大利亚,AUS,娱乐,6,-0.5296
澳大利亚,AUS,家庭与关系,6,
澳大利亚,AUS,金融,6,
澳大利亚,AUS,美食佳饮,6,
澳大利亚,AUS,生成式 AI,6,-1.2498
澳大利亚,AUS,图形与设计,6,
澳大利亚,AUS,健康与健身,6,-0.4881
澳大利亚,AUS,生活方式,6,
澳大利亚,AUS,医疗,6,
澳大利亚,AUS,音乐,6,
澳大利亚,AUS,新闻与杂志,6,
澳大利亚,AUS,照片和视频,6,-1.4374
澳大利亚,AUS,生产力工具,6,
澳大利亚,AUS,房地产,6,
澳大利亚,AUS,真金游戏,6,
澳大利亚,AUS,购物,6,-0.9434
澳大利亚,AUS,社交,6,
澳大利亚,AUS,社交媒体,6,-0.9332
澳大利亚,AUS,体育,6,0.3302
澳大利亚,AUS,工具,6,
