Country,Country code,Category,hour_of_day,value
Australia,AUS,Family & Relationships,5,
Australia,AUS,Finance,5,
Australia,AUS,Food & Drink,5,
Australia,AUS,Generative AI,5,-1.6106
Australia,AUS,Graphic & Design,5,
Australia,AUS,Health & Fitness,5,-1.0989
Australia,AUS,Lifestyle,5,
Australia,AUS,Medical,5,
Australia,AUS,Music,5,
Australia,AUS,News & Magazines,5,
Australia,AUS,Photo & Video,5,-1.5811
Australia,AUS,Productivity,5,
Australia,AUS,Real Estate,5,
Australia,AUS,RMG,5,
Australia,AUS,Shopping,5,-1.4182
Australia,AUS,Social,5,
Australia,AUS,Social Media,5,-1.6042
Australia,AUS,Sports,5,-1.0431
Australia,AUS,Tools,5,
Australia,AUS,Travel,5,-1.0353
Australia,AUS,Travel & Navigation,5,
Australia,AUS,Utility & Productivity,5,-0.5353
Australia,AUS,Weather,5,
Australia,AUS,Art & Design,6,
Australia,AUS,Automotive,6,
Australia,AUS,Books & Reference,6,-1.0169
Australia,AUS,Business,6,
Australia,AUS,Education,6,-0.598
Australia,AUS,Entertainment,6,-0.5296
Australia,AUS,Family & Relationships,6,
Australia,AUS,Finance,6,
Australia,AUS,Food & Drink,6,
Australia,AUS,Generative AI,6,-1.2498
Australia,AUS,Graphic & Design,6,
Australia,AUS,Health & Fitness,6,-0.4881
Australia,AUS,Lifestyle,6,
Australia,AUS,Medical,6,
Australia,AUS,Music,6,
Australia,AUS,News & Magazines,6,
Australia,AUS,Photo & Video,6,-1.4374
Australia,AUS,Productivity,6,
Australia,AUS,Real Estate,6,
Australia,AUS,RMG,6,
Australia,AUS,Shopping,6,-0.9434
Australia,AUS,Social,6,
Australia,AUS,Social Media,6,-0.9332
Australia,AUS,Sports,6,0.3302
Australia,AUS,Tools,6,
Australia,AUS,Travel,6,-0.0554
Australia,AUS,Travel & Navigation,6,
Australia,AUS,Utility & Productivity,6,0.8592
Australia,AUS,Weather,6,
Australia,AUS,Art & Design,7,
Australia,AUS,Automotive,7,
Australia,AUS,Books & Reference,7,-0.1438
Australia,AUS,Business,7,
Australia,AUS,Education,7,0.0098
Australia,AUS,Entertainment,7,0.2979
Australia,AUS,Family & Relationships,7,
Australia,AUS,Finance,7,
Australia,AUS,Food & Drink,7,
Australia,AUS,Generative AI,7,-0.6594
Australia,AUS,Graphic & Design,7,
Australia,AUS,Health & Fitness,7,0.0571
Australia,AUS,Lifestyle,7,
Australia,AUS,Medical,7,
Australia,AUS,Music,7,
Australia,AUS,News & Magazines,7,
Australia,AUS,Photo & Video,7,-1.0891
Australia,AUS,Productivity,7,
Australia,AUS,Real Estate,7,
Australia,AUS,RMG,7,
Australia,AUS,Shopping,7,-0.431
Australia,AUS,Social,7,
Australia,AUS,Social Media,7,-0.25
Australia,AUS,Sports,7,0.8676
Australia,AUS,Tools,7,
Australia,AUS,Travel,7,0.6277
Australia,AUS,Travel & Navigation,7,
Australia,AUS,Utility & Productivity,7,1.5462
Australia,AUS,Weather,7,
Australia,AUS,Art & Design,8,
Australia,AUS,Automotive,8,
Australia,AUS,Books & Reference,8,0.3003
Australia,AUS,Business,8,
Australia,AUS,Education,8,0.1089
Australia,AUS,Entertainment,8,0.8189
Australia,AUS,Family & Relationships,8,
Australia,AUS,Finance,8,
Australia,AUS,Food & Drink,8,
Australia,AUS,Generative AI,8,-0.5223
Australia,AUS,Graphic & Design,8,
Australia,AUS,Health & Fitness,8,0.0933
Australia,AUS,Lifestyle,8,
Australia,AUS,Medical,8,
Australia,AUS,Music,8,
Australia,AUS,News & Magazines,8,
Australia,AUS,Photo & Video,8,-0.6095
Australia,AUS,Productivity,8,
Australia,AUS,Real Estate,8,
Australia,AUS,RMG,8,
Australia,AUS,Shopping,8,-0.0145
Australia,AUS,Social,8,
Australia,AUS,Social Media,8,0.0598
Australia,AUS,Sports,8,0.5952
Australia,AUS,Tools,8,
Australia,AUS,Travel,8,1.0799
Australia,AUS,Travel & Navigation,8,
Australia,AUS,Utility & Productivity,8,1.272
Australia,AUS,Weather,8,
