Country,Country code,Category,Share,2024 vs. 2023 Growth,App - full name
韩国,KOR,新闻,0.00,0.21,
韩国,KOR,其他,0.05,-0.04,
韩国,KOR,购物,0.04,0.05,
韩国,KOR,社交媒体,0.39,-0.10,
韩国,KOR,体育,0.00,-0.24,
韩国,KOR,实用与效率,0.05,-0.01,
墨西哥,MEX,图书与工具书,0.02,-0.13,
墨西哥,MEX,教育,0.01,0.17,
墨西哥,MEX,娱乐,0.11,0.08,
墨西哥,MEX,金融,0.01,0.21,
墨西哥,MEX,游戏,0.64,0.07,
墨西哥,MEX,生成式 AI,0.01,4.05,
墨西哥,MEX,健康与健身,0.00,0.24,
墨西哥,MEX,新闻,0.00,1.30,
墨西哥,MEX,其他,0.04,0.17,
墨西哥,MEX,购物,0.02,0.30,
墨西哥,MEX,社交媒体,0.10,0.05,
墨西哥,MEX,体育,0.00,0.12,
墨西哥,MEX,实用与效率,0.03,0.03,
美国,USA,图书与工具书,0.02,-0.05,
美国,USA,教育,0.01,0.05,
美国,USA,娱乐,0.11,-0.02,
美国,USA,金融,0.01,0.05,
美国,USA,游戏,0.39,0.04,
美国,USA,生成式 AI,0.02,2.44,
美国,USA,健康与健身,0.01,0.09,
美国,USA,新闻,0.01,-0.05,
美国,USA,其他,0.07,0.00,
美国,USA,购物,0.03,-0.02,
美国,USA,社交媒体,0.27,-0.06,
美国,USA,体育,0.01,-0.01,
美国,USA,实用与效率,0.04,-0.03,
