Country,Country code,Genre,Demographics (Age),%
ドイツ,DEU,RMG,25～34歳,0.301
ドイツ,DEU,RMG,35～44歳,0.24
ドイツ,DEU,RMG,45～54歳,0.21
ドイツ,DEU,RMG,55歳以上,0.106
ドイツ,DEU,Eコマース,18～24歳,0.079
ドイツ,DEU,Eコマース,25～34歳,0.282
ドイツ,DEU,Eコマース,35～44歳,0.31
ドイツ,DEU,Eコマース,45～54歳,0.199
ドイツ,DEU,Eコマース,55歳以上,0.13
ドイツ,DEU,オンデマンド,18～24歳,0.256
ドイツ,DEU,オンデマンド,25～34歳,0.346
ドイツ,DEU,オンデマンド,35～44歳,0.231
ドイツ,DEU,オンデマンド,45～54歳,0.117
ドイツ,DEU,オンデマンド,55歳以上,0.05
ドイツ,DEU,旅行,18～24歳,0.196
ドイツ,DEU,旅行,25～34歳,0.434
ドイツ,DEU,旅行,35～44歳,0.167
ドイツ,DEU,旅行,45～54歳,0.137
ドイツ,DEU,旅行,55歳以上,0.067
ドイツ,DEU,ファイナンス,18～24歳,0.05
ドイツ,DEU,ファイナンス,25～34歳,0.32
ドイツ,DEU,ファイナンス,35～44歳,0.339
ドイツ,DEU,ファイナンス,45～54歳,0.199
ドイツ,DEU,ファイナンス,55歳以上,0.092
ドイツ,DEU,エンターテインメント,18～24歳,0.28
ドイツ,DEU,エンターテインメント,25～34歳,0.302
ドイツ,DEU,エンターテインメント,35～44歳,0.169
ドイツ,DEU,エンターテインメント,45～54歳,0.168
ドイツ,DEU,エンターテインメント,55歳以上,0.081
ドイツ,DEU,ソーシャル,18～24歳,0.339
ドイツ,DEU,ソーシャル,25～34歳,0.405
ドイツ,DEU,ソーシャル,35～44歳,0.131
ドイツ,DEU,ソーシャル,45～54歳,0.069
ドイツ,DEU,ソーシャル,55歳以上,0.056
フランス,FRA,RMG,18～24歳,0.177
フランス,FRA,RMG,25～34歳,0.281
フランス,FRA,RMG,35～44歳,0.263
フランス,FRA,RMG,45～54歳,0.17
