Country,Country code,Genre,Demographics (Age),%
France,FRA,On Demand,55+,0.018
France,FRA,Travel,18-24,0.103
France,FRA,Travel,25-34,0.446
France,FRA,Travel,35-44,0.237
France,FRA,Travel,45-54,0.128
France,FRA,Travel,55+,0.085
France,FRA,Finance,18-24,0.136
France,FRA,Finance,25-34,0.335
France,FRA,Finance,35-44,0.273
France,FRA,Finance,45-54,0.168
France,FRA,Finance,55+,0.089
France,FRA,Entertainment,18-24,0.414
France,FRA,Entertainment,25-34,0.273
France,FRA,Entertainment,35-44,0.151
France,FRA,Entertainment,45-54,0.097
France,FRA,Entertainment,55+,0.066
France,FRA,Social,18-24,0.416
France,FRA,Social,25-34,0.349
France,FRA,Social,35-44,0.116
France,FRA,Social,45-54,0.068
France,FRA,Social,55+,0.051
U.K.,GBR,RMG,18-24,0.138
U.K.,GBR,RMG,25-34,0.298
U.K.,GBR,RMG,35-44,0.307
U.K.,GBR,RMG,45-54,0.179
U.K.,GBR,RMG,55+,0.078
U.K.,GBR,E-Commerce,18-24,0.126
U.K.,GBR,E-Commerce,25-34,0.259
U.K.,GBR,E-Commerce,35-44,0.321
U.K.,GBR,E-Commerce,45-54,0.205
U.K.,GBR,E-Commerce,55+,0.089
U.K.,GBR,On Demand,18-24,0.275
U.K.,GBR,On Demand,25-34,0.34
U.K.,GBR,On Demand,35-44,0.224
U.K.,GBR,On Demand,45-54,0.118
U.K.,GBR,On Demand,55+,0.043
U.K.,GBR,Travel,18-24,0.154
U.K.,GBR,Travel,25-34,0.31
U.K.,GBR,Travel,35-44,0.267
U.K.,GBR,Travel,45-54,0.201
U.K.,GBR,Travel,55+,0.068
U.K.,GBR,Finance,18-24,0.09
U.K.,GBR,Finance,25-34,0.426
U.K.,GBR,Finance,35-44,0.292
U.K.,GBR,Finance,45-54,0.151
U.K.,GBR,Finance,55+,0.041
U.K.,GBR,Entertainment,18-24,0.41
U.K.,GBR,Entertainment,25-34,0.292
U.K.,GBR,Entertainment,35-44,0.142
U.K.,GBR,Entertainment,45-54,0.093
U.K.,GBR,Entertainment,55+,0.063
U.K.,GBR,Social,18-24,0.445
U.K.,GBR,Social,25-34,0.312
U.K.,GBR,Social,35-44,0.134
U.K.,GBR,Social,45-54,0.063
U.K.,GBR,Social,55+,0.046
Indonesia,IDN,RMG,18-24,0.264
Indonesia,IDN,RMG,25-34,0.341
Indonesia,IDN,RMG,35-44,0.275
Indonesia,IDN,RMG,45-54,0.1
Indonesia,IDN,RMG,55+,0.02
Indonesia,IDN,E-Commerce,18-24,0.14
Indonesia,IDN,E-Commerce,25-34,0.41
Indonesia,IDN,E-Commerce,35-44,0.357
Indonesia,IDN,E-Commerce,45-54,0.077
Indonesia,IDN,E-Commerce,55+,0.016
Indonesia,IDN,On Demand,18-24,0.309
Indonesia,IDN,On Demand,25-34,0.397
Indonesia,IDN,On Demand,35-44,0.247
Indonesia,IDN,On Demand,45-54,0.037
Indonesia,IDN,On Demand,55+,0.01
Indonesia,IDN,Travel,18-24,0.145
Indonesia,IDN,Travel,25-34,0.41
Indonesia,IDN,Travel,35-44,0.302
Indonesia,IDN,Travel,45-54,0.112
Indonesia,IDN,Travel,55+,0.031
Indonesia,IDN,Finance,18-24,0.079
Indonesia,IDN,Finance,25-34,0.427
Indonesia,IDN,Finance,35-44,0.38
Indonesia,IDN,Finance,45-54,0.111
Indonesia,IDN,Finance,55+,0.003
Indonesia,IDN,Entertainment,18-24,0.402
Indonesia,IDN,Entertainment,25-34,0.394
Indonesia,IDN,Entertainment,35-44,0.121
Indonesia,IDN,Entertainment,45-54,0.071
Indonesia,IDN,Entertainment,55+,0.013
Indonesia,IDN,Social,18-24,0.365
Indonesia,IDN,Social,25-34,0.395
Indonesia,IDN,Social,35-44,0.151
Indonesia,IDN,Social,45-54,0.065
Indonesia,IDN,Social,55+,0.024
India,IND,RMG,18-24,0.245
India,IND,RMG,25-34,0.462
India,IND,RMG,35-44,0.243
India,IND,RMG,45-54,0.045
India,IND,RMG,55+,0.006
India,IND,E-Commerce,18-24,0.208
India,IND,E-Commerce,25-34,0.431
India,IND,E-Commerce,35-44,0.285
India,IND,E-Commerce,45-54,0.065
India,IND,E-Commerce,55+,0.01
India,IND,On Demand,18-24,0.42
India,IND,On Demand,25-34,0.366
India,IND,On Demand,35-44,0.17
India,IND,On Demand,45-54,0.04
India,IND,On Demand,55+,0.005
India,IND,Travel,18-24,0.191
India,IND,Travel,25-34,0.51
India,IND,Travel,35-44,0.237
India,IND,Travel,45-54,0.053
India,IND,Travel,55+,0.008
India,IND,Finance,18-24,0.081
India,IND,Finance,25-34,0.509
India,IND,Finance,35-44,0.328
India,IND,Finance,45-54,0.082
India,IND,Finance,55+,0.001
India,IND,Entertainment,18-24,0.488
India,IND,Entertainment,25-34,0.346
India,IND,Entertainment,35-44,0.126
India,IND,Entertainment,45-54,0.032
India,IND,Entertainment,55+,0.007
India,IND,Social,18-24,0.478
India,IND,Social,25-34,0.365
India,IND,Social,35-44,0.112
India,IND,Social,45-54,0.034
India,IND,Social,55+,0.011
Japan,JPN,RMG,18-24,0.065
Japan,JPN,RMG,25-34,0.222
Japan,JPN,RMG,35-44,0.214
Japan,JPN,RMG,45-54,0.163
Japan,JPN,RMG,55+,0.335
Japan,JPN,E-Commerce,18-24,0.059
Japan,JPN,E-Commerce,25-34,0.173
Japan,JPN,E-Commerce,35-44,0.379
Japan,JPN,E-Commerce,45-54,0.215
Japan,JPN,E-Commerce,55+,0.175
Japan,JPN,On Demand,18-24,0.114
Japan,JPN,On Demand,25-34,0.292
Japan,JPN,On Demand,35-44,0.364
Japan,JPN,On Demand,45-54,0.154
Japan,JPN,On Demand,55+,0.077
Japan,JPN,Travel,18-24,0.035
Japan,JPN,Travel,25-34,0.269
Japan,JPN,Travel,35-44,0.39
Japan,JPN,Travel,45-54,0.163
Japan,JPN,Travel,55+,0.143
Japan,JPN,Finance,18-24,0.098
Japan,JPN,Finance,25-34,0.304
Japan,JPN,Finance,35-44,0.311
Japan,JPN,Finance,45-54,0.163
