Country,Country code,Genre,Top subcat for time spent,%
墨西哥,MEX,金融,医疗,536
墨西哥,MEX,娱乐,图书,117
墨西哥,MEX,社交,体育,179
美国,USA,真金游戏,新闻,236
美国,USA,电子商务,新闻,236
美国,USA,按需服务,购物,216
美国,USA,旅游,体育,183
美国,USA,金融,购物,163
美国,USA,娱乐,生活方式,99
美国,USA,社交,实用工具,272
越南,VNM,真金游戏,天气,404
越南,VNM,电子商务,医疗,122
越南,VNM,按需服务,健康与健身,407
越南,VNM,旅游,美食佳饮,318
越南,VNM,金融,休闲游戏,230
越南,VNM,娱乐,旅游,115
越南,VNM,社交,美食佳饮,160
