Country,Country code,Category,Share,2024 vs. 2023 Growth,App - full name
日本,JPN,健康・フィットネス,0.00,0.07,
日本,JPN,ニュース,0.06,-0.05,
日本,JPN,その他,0.03,0.03,
日本,JPN,ショッピング,0.02,0.07,
日本,JPN,ソーシャルメディア,0.43,-0.04,
日本,JPN,スポーツ,0.01,0.08,
日本,JPN,ユーティリティ & 生産性,0.03,0.02,
韓国,KOR,書籍・参考書,0.03,-0.15,
韓国,KOR,教育,0.02,0.05,
韓国,KOR,エンターテインメント,0.07,-0.05,
韓国,KOR,ファイナンス,0.05,0.20,
韓国,KOR,ゲーム,0.26,-0.02,
韓国,KOR,生成AI,0.00,4.66,
韓国,KOR,健康・フィットネス,0.03,0.00,
韓国,KOR,ニュース,0.00,0.21,
韓国,KOR,その他,0.05,-0.04,
韓国,KOR,ショッピング,0.04,0.05,
韓国,KOR,ソーシャルメディア,0.39,-0.10,
韓国,KOR,スポーツ,0.00,-0.24,
韓国,KOR,ユーティリティ & 生産性,0.05,-0.01,
メキシコ,MEX,書籍・参考書,0.02,-0.13,
メキシコ,MEX,教育,0.01,0.17,
メキシコ,MEX,エンターテインメント,0.11,0.08,
メキシコ,MEX,ファイナンス,0.01,0.21,
メキシコ,MEX,ゲーム,0.64,0.07,
メキシコ,MEX,生成AI,0.01,4.05,
メキシコ,MEX,健康・フィットネス,0.00,0.24,
メキシコ,MEX,ニュース,0.00,1.30,
メキシコ,MEX,その他,0.04,0.17,
メキシコ,MEX,ショッピング,0.02,0.30,
メキシコ,MEX,ソーシャルメディア,0.10,0.05,
メキシコ,MEX,スポーツ,0.00,0.12,
メキシコ,MEX,ユーティリティ & 生産性,0.03,0.03,
アメリカ合衆国,USA,書籍・参考書,0.02,-0.05,
アメリカ合衆国,USA,教育,0.01,0.05,
アメリカ合衆国,USA,エンターテインメント,0.11,-0.02,
アメリカ合衆国,USA,ファイナンス,0.01,0.05,
アメリカ合衆国,USA,ゲーム,0.39,0.04,
アメリカ合衆国,USA,生成AI,0.02,2.44,
アメリカ合衆国,USA,健康・フィットネス,0.01,0.09,
アメリカ合衆国,USA,ニュース,0.01,-0.05,
アメリカ合衆国,USA,その他,0.07,0.00,
アメリカ合衆国,USA,ショッピング,0.03,-0.02,
アメリカ合衆国,USA,ソーシャルメディア,0.27,-0.06,
アメリカ合衆国,USA,スポーツ,0.01,-0.01,
アメリカ合衆国,USA,ユーティリティ & 生産性,0.04,-0.03,
