Country,Country code,Genre,Demographics (Gender),%
韓国,KOR,RMG,男性,0.696
韓国,KOR,RMG,女性,0.304
韓国,KOR,Eコマース,男性,0.329
韓国,KOR,Eコマース,女性,0.671
韓国,KOR,オンデマンド,男性,0.615
韓国,KOR,オンデマンド,女性,0.385
韓国,KOR,旅行,男性,0.591
韓国,KOR,旅行,女性,0.409
韓国,KOR,ファイナンス,男性,0.503
韓国,KOR,ファイナンス,女性,0.497
韓国,KOR,エンターテインメント,男性,0.537
韓国,KOR,エンターテインメント,女性,0.463
韓国,KOR,ソーシャル,男性,0.533
韓国,KOR,ソーシャル,女性,0.467
メキシコ,MEX,RMG,男性,0.78
メキシコ,MEX,RMG,女性,0.22
メキシコ,MEX,Eコマース,男性,0.384
メキシコ,MEX,Eコマース,女性,0.616
メキシコ,MEX,オンデマンド,男性,0.594
メキシコ,MEX,オンデマンド,女性,0.406
メキシコ,MEX,旅行,男性,0.592
メキシコ,MEX,旅行,女性,0.408
メキシコ,MEX,ファイナンス,男性,0.59
メキシコ,MEX,ファイナンス,女性,0.41
メキシコ,MEX,エンターテインメント,男性,0.481
メキシコ,MEX,エンターテインメント,女性,0.519
メキシコ,MEX,ソーシャル,男性,0.49
メキシコ,MEX,ソーシャル,女性,0.51
アメリカ合衆国,USA,RMG,男性,0.816
アメリカ合衆国,USA,RMG,女性,0.184
アメリカ合衆国,USA,Eコマース,男性,0.348
アメリカ合衆国,USA,Eコマース,女性,0.652
アメリカ合衆国,USA,オンデマンド,男性,0.514
アメリカ合衆国,USA,オンデマンド,女性,0.486
アメリカ合衆国,USA,旅行,男性,0.584
アメリカ合衆国,USA,旅行,女性,0.416
アメリカ合衆国,USA,ファイナンス,男性,0.538
アメリカ合衆国,USA,ファイナンス,女性,0.462
アメリカ合衆国,USA,エンターテインメント,男性,0.509
アメリカ合衆国,USA,エンターテインメント,女性,0.491
アメリカ合衆国,USA,ソーシャル,男性,0.54
アメリカ合衆国,USA,ソーシャル,女性,0.46
ベトナム,VNM,RMG,男性,0.849
ベトナム,VNM,RMG,女性,0.151
ベトナム,VNM,Eコマース,男性,0.4
ベトナム,VNM,Eコマース,女性,0.6
ベトナム,VNM,オンデマンド,男性,0.646
ベトナム,VNM,オンデマンド,女性,0.354
ベトナム,VNM,旅行,男性,0.685
ベトナム,VNM,旅行,女性,0.315
ベトナム,VNM,ファイナンス,男性,0.849
ベトナム,VNM,ファイナンス,女性,0.151
ベトナム,VNM,エンターテインメント,男性,0.661
ベトナム,VNM,エンターテインメント,女性,0.339
ベトナム,VNM,ソーシャル,男性,0.48
ベトナム,VNM,ソーシャル,女性,0.52
