Country,Country code,year,category,category2,revenue
All countries,All countries,2019,Dating,Non-Gaming,580933191.9
All countries,All countries,2017,Productivity,Non-Gaming,578455975.8
All countries,All countries,2019,Sports,Non-Gaming,568783459.1
All countries,All countries,2024,Video Players & Editors,Non-Gaming,563946997.5
All countries,All countries,2022,News,Non-Gaming,550617460.2
All countries,All countries,2017,Education,Non-Gaming,546065491.7
All countries,All countries,2024,Shopping,Non-Gaming,544766375
All countries,All countries,2020,Dating,Non-Gaming,527914807.1
All countries,All countries,2024,Communication,Non-Gaming,518771819.5
All countries,All countries,2017,Books,Non-Gaming,514303164
All countries,All countries,2017,Photo & Video,Non-Gaming,511102378.3
All countries,All countries,2023,Books & Reference,Non-Gaming,510029229.1
All countries,All countries,2018,Dating,Non-Gaming,509670939.4
All countries,All countries,2022,Comics,Non-Gaming,503341878.4
All countries,All countries,2019,Business,Non-Gaming,499497585.7
All countries,All countries,2018,Social,Non-Gaming,470244201.3
All countries,All countries,2017,Health & Fitness,Non-Gaming,470170254.4
All countries,All countries,2021,Comics,Non-Gaming,463113850.2
All countries,All countries,2014,Social Networking,Non-Gaming,457732214.5
All countries,All countries,2024,Finance,Non-Gaming,455931471.2
All countries,All countries,2015,Entertainment,Non-Gaming,450617732.1
All countries,All countries,2019,Utilities,Non-Gaming,436801925.8
All countries,All countries,2024,Graphics & Design,Non-Gaming,425721661.3
All countries,All countries,2024,Navigation,Non-Gaming,421719969.3
All countries,All countries,2023,Communication,Non-Gaming,420546400.9
All countries,All countries,2024,Tools,Non-Gaming,420344099.4
All countries,All countries,2021,News,Non-Gaming,418501755
All countries,All countries,2022,Books & Reference,Non-Gaming,416054598.3
All countries,All countries,2016,Lifestyle,Non-Gaming,387870339
All countries,All countries,2023,Graphics & Design,Non-Gaming,385161665.2
All countries,All countries,2023,Finance,Non-Gaming,383192918.6
All countries,All countries,2022,Music & Audio,Non-Gaming,382536369.5
All countries,All countries,2022,Communication,Non-Gaming,378214504.4
All countries,All countries,2021,Communication,Non-Gaming,371452019.1
All countries,All countries,2016,Education,Non-Gaming,369193615.4
All countries,All countries,2019,Music & Audio,Non-Gaming,365128994.4
All countries,All countries,2021,Music & Audio,Non-Gaming,351581962.4
All countries,All countries,2018,Business,Non-Gaming,348407027
All countries,All countries,2023,Navigation,Non-Gaming,337254325.2
All countries,All countries,2018,Sports,Non-Gaming,335911812
All countries,All countries,2022,Finance,Non-Gaming,334189208
All countries,All countries,2020,Communication,Non-Gaming,333435020.7
All countries,All countries,2023,Tools,Non-Gaming,331805206.6
All countries,All countries,2023,Video Players & Editors,Non-Gaming,326988257.7
All countries,All countries,2020,Music & Audio,Non-Gaming,320522473
All countries,All countries,2020,News,Non-Gaming,316897840
All countries,All countries,2015,Education,Non-Gaming,314422242.8
All countries,All countries,2018,Utilities,Non-Gaming,311963881.1
All countries,All countries,2021,Books & Reference,Non-Gaming,311006982.1
All countries,All countries,2022,Graphics & Design,Non-Gaming,309602077.7
All countries,All countries,2020,Comics,Non-Gaming,307839567.9
All countries,All countries,2017,Social,Non-Gaming,306989295.2
All countries,All countries,2021,Finance,Non-Gaming,306896471.4
All countries,All countries,2018,Communication,Non-Gaming,306124652.4
All countries,All countries,2019,Communication,Non-Gaming,305875258.6
All countries,All countries,2022,Navigation,Non-Gaming,293711072.5
All countries,All countries,2018,Music & Audio,Non-Gaming,291676688.6
All countries,All countries,2021,Graphics & Design,Non-Gaming,290402962.8
All countries,All countries,2024,Photography,Non-Gaming,281380232.3
All countries,All countries,2017,Communication,Non-Gaming,274819547.1
All countries,All countries,2024,Reference,Non-Gaming,273291458.3
All countries,All countries,2017,Dating,Non-Gaming,270829907.3
All countries,All countries,2021,Tools,Non-Gaming,269450130.2
All countries,All countries,2016,Health & Fitness,Non-Gaming,268170816.6
All countries,All countries,2022,Tools,Non-Gaming,266350848.6
All countries,All countries,2016,Productivity,Non-Gaming,265046884.9
All countries,All countries,2014,Entertainment,Non-Gaming,263922048.9
All countries,All countries,2016,Communication,Non-Gaming,263203882.8
