Country,Country code,Value,Year,Region
인도,IND,666017365427,2021,아시아
인도,IND,748430491575,2022,아시아
인도,IND,885551435467,2023,아시아
인도,IND,1015088259547,2024,아시아
인도,IND,0.1111036211,CAGR,아시아
인도네시아,IDN,291619538537,2021,아시아
인도네시아,IDN,305807512310,2022,아시아
인도네시아,IDN,315542917758,2023,아시아
인도네시아,IDN,324727879910,2024,아시아
인도네시아,IDN,0.02724902961,CAGR,아시아
미국,USA,263276338547,2021,아메리카
미국,USA,273449903405,2022,아메리카
미국,USA,281142322373,2023,아메리카
미국,USA,277983187390,2024,아메리카
미국,USA,0.01368186095,CAGR,아메리카
브라질,BRA,210718043042,2021,아메리카
브라질,BRA,205706276267,2022,아메리카
브라질,BRA,204749830759,2023,아메리카
브라질,BRA,206852811074,2024,아메리카
브라질,BRA,-0.004617672669,CAGR,아메리카
러시아,RUS,124032571663,2021,아시아
러시아,RUS,137385373885,2022,아시아
러시아,RUS,148794297975,2023,아시아
러시아,RUS,154755441565,2024,아시아
러시아,RUS,0.05688453994,CAGR,아시아
멕시코,MEX,121460502740,2021,아메리카
멕시코,MEX,118298452954,2022,아메리카
멕시코,MEX,127609480380,2023,아메리카
멕시코,MEX,132363788014,2024,아메리카
멕시코,MEX,0.02172384308,CAGR,아메리카
터키,TUR,79351786148,2021,중동
터키,TUR,82786028916,2022,중동
터키,TUR,90418048916,2023,중동
터키,TUR,91630548708,2024,중동
터키,TUR,0.03662313035,CAGR,중동
필리핀,PHL,78699590750,2021,아시아
필리핀,PHL,83325935407,2022,아시아
필리핀,PHL,83970082665,2023,아시아
필리핀,PHL,90816314048,2024,아시아
필리핀,PHL,0.0364487911,CAGR,아시아
베트남,VNM,86940460759,2021,아시아
베트남,VNM,87517516203,2022,아시아
베트남,VNM,88442236645,2023,아시아
베트남,VNM,90424412612,2024,아시아
베트남,VNM,0.009871090125,CAGR,아시아
일본,JPN,91023803120,2021,아시아
일본,JPN,92151403707,2022,아시아
일본,JPN,89191092174,2023,아시아
일본,JPN,88751718760,2024,아시아
일본,JPN,-0.006299636207,CAGR,아시아
파키스탄,PAK,43250028498,2021,아시아
파키스탄,PAK,52808474173,2022,아시아
파키스탄,PAK,59824319425,2023,아시아
파키스탄,PAK,68492378458,2024,아시아
파키스탄,PAK,0.1217961946,CAGR,아시아
나이지리아,NGA,41348885984,2021,아프리카
나이지리아,NGA,49919811425,2022,아프리카
나이지리아,NGA,58500668670,2023,아프리카
나이지리아,NGA,67797661494,2024,아프리카
나이지리아,NGA,0.1315864156,CAGR,아프리카
이집트,EGY,54320698215,2021,중동
이집트,EGY,58726095953,2022,중동
이집트,EGY,63571696417,2023,중동
이집트,EGY,67406531880,2024,중동
이집트,EGY,0.05544148345,CAGR,중동
태국,THA,67066970374,2021,아시아
태국,THA,67702785410,2022,아시아
태국,THA,66922851954,2023,아시아
태국,THA,67077741004,2024,아시아
태국,THA,0.00004014637148,CAGR,아시아
영국,GBR,52619508196,2021,유럽
영국,GBR,53556939588,2022,유럽
영국,GBR,55598662952,2023,유럽
영국,GBR,55852480386,2024,유럽
영국,GBR,0.01501841148,CAGR,유럽
독일,DEU,46340492643,2021,유럽
독일,DEU,47175944341,2022,유럽
독일,DEU,48676233559,2023,유럽
독일,DEU,49950260332,2024,유럽
독일,DEU,0.01892983152,CAGR,유럽
이탈리아,ITA,39947143058,2021,유럽
이탈리아,ITA,42737313670,2022,유럽
이탈리아,ITA,43892711754,2023,유럽
이탈리아,ITA,44055385819,2024,유럽
이탈리아,ITA,0.0247745258,CAGR,유럽
프랑스,FRA,38525339979,2021,유럽
프랑스,FRA,40348338314,2022,유럽
프랑스,FRA,41407130859,2023,유럽
프랑스,FRA,42262831378,2024,유럽
프랑스,FRA,0.02341794377,CAGR,유럽
콜롬비아,COL,36835589230,2021,아메리카
콜롬비아,COL,37228880469,2022,아메리카
콜롬비아,COL,40374352193,2023,아메리카
콜롬비아,COL,42083996834,2024,아메리카
콜롬비아,COL,0.03386144421,CAGR,아메리카
대한민국,KOR,45949810032,2021,아시아
대한민국,KOR,44377500563,2022,아시아
대한민국,KOR,43044815934,2023,아시아
대한민국,KOR,41693294458,2024,아시아
대한민국,KOR,-0.02400942635,CAGR,아시아
스페인,ESP,32857624930,2021,유럽
스페인,ESP,35143681155,2022,유럽
스페인,ESP,36653579048,2023,유럽
스페인,ESP,37701073030,2024,유럽
스페인,ESP,0.03497387123,CAGR,유럽
아르헨티나,ARG,31416126299,2021,아메리카
아르헨티나,ARG,32860853116,2022,아메리카
아르헨티나,ARG,36032414761,2023,아메리카
아르헨티나,ARG,37273554346,2024,아메리카
아르헨티나,ARG,0.04366722091,CAGR,아메리카
말레이시아,MYS,36595434034,2021,아시아
말레이시아,MYS,34513198810,2022,아시아
말레이시아,MYS,34216546633,2023,아시아
말레이시아,MYS,34627843367,2024,아시아
말레이시아,MYS,-0.01372134215,CAGR,아시아
사우디아라비아,SAU,31614379482,2021,중동
사우디아라비아,SAU,32823946703,2022,중동
사우디아라비아,SAU,33745588651,2023,중동
사우디아라비아,SAU,34417731969,2024,중동
사우디아라비아,SAU,0.02146713139,CAGR,중동
페루,PER,26827884887,2021,아메리카
페루,PER,26893059702,2022,아메리카
페루,PER,28536193657,2023,아메리카
페루,PER,30558520238,2024,아메리카
페루,PER,0.03308598885,CAGR,아메리카
남아프리카공화국,ZAF,20028766946,2021,아프리카
남아프리카공화국,ZAF,22618328310,2022,아프리카
남아프리카공화국,ZAF,25986759051,2023,아프리카
남아프리카공화국,ZAF,30445268128,2024,아프리카
남아프리카공화국,ZAF,0.1103666201,CAGR,아프리카
알제리,DZA,9844031452,2021,아프리카
알제리,DZA,24675606660,2022,아프리카
알제리,DZA,28257435736,2023,아프리카
